stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
young people are too emotional,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,young people are too emotional,Yoruba *
young people don’t take things seriously,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,young people don’t take things seriously,Yoruba *
Middle-aged people are stuck in routines,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Middle-aged people are stuck in routines,Yoruba *
middle-aged people are boring,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,middle-aged people are boring,Yoruba *
middle-aged people are overworked,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,da,middle-aged people are overworked,Yoruba *
middle-aged people are financially stable,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,middle-aged people are financially stable,Yoruba *
middle-aged people are responsible,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,middle-aged people are responsible,Yoruba *
middle-aged people are stressed,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,middle-aged people are stressed,Yoruba *
Teenagers are dramatic,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,Teenagers are dramatic,Yoruba *
teenagers are reckless,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,teenagers are reckless,Yoruba *
teenagers are obsessed with trends,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,teenagers are obsessed with trends,Yoruba *
teenagers are disrespectful,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,teenagers are disrespectful,Yoruba *
teenagers are always on their phones,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,teenagers are always on their phones,Yoruba *
teenagers are moody,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,teenagers are moody,Yoruba *
Children are innocent,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Children are innocent,Yoruba *
children are naive,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,children are naive,Yoruba *
children are easily influenced,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,children are easily influenced,Yoruba *
children are noisy,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,children are noisy,Yoruba *
children are playful,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,children are playful,Yoruba *
children are not serious.,age,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,children are not serious.,Yoruba *
Doctors are smart,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Doctors are smart,Yoruba *
doctors are wealthy,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,doctors are wealthy,Yoruba *
doctors are arrogant,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,doctors are arrogant,Yoruba *
doctors have no time for family,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,doctors have no time for family,Yoruba *
Nurses are caring,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,Nurses are caring,Yoruba *
nurses are overworked,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,af,nurses are overworked,Yoruba *
nurses are underpaid,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,nurses are underpaid,Yoruba *
nurses are mostly women,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,nurses are mostly women,Yoruba *
Lawyers are argumentative,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Lawyers are argumentative,Yoruba *
lawyers are dishonest,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,lawyers are dishonest,Yoruba *
lawyers are manipulative,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,lawyers are manipulative,Yoruba *
lawyers love to talk,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,lawyers love to talk,Yoruba *
Engineers are logical,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Engineers are logical,Yoruba *
engineers are introverted,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,engineers are introverted,Yoruba *
engineers are bad communicators,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,engineers are bad communicators,Yoruba *
engineers are nerdy,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,engineers are nerdy,Yoruba *
Teachers are patient,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Teachers are patient,Yoruba *
teachers are selfless,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,teachers are selfless,Yoruba *
teachers are poor,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,teachers are poor,Yoruba *
teachers are strict,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,teachers are strict,Yoruba *
Traders are persuasive,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,pt,Traders are persuasive,Yoruba *
traders are loud,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,es,traders are loud,Yoruba *
traders are street-smart,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,sv,traders are street-smart,Yoruba *
traders are aggressive,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,sv,traders are aggressive,Yoruba *
Politicians are corrupt,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,Politicians are corrupt,Yoruba *
politicians are liars,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,it,politicians are liars,Yoruba *
politicians are power-hungry,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,politicians are power-hungry,Yoruba *
politicians are manipulative,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,politicians are manipulative,Yoruba *
Bankers are rich,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,Bankers are rich,Yoruba *
bankers are greedy,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,af,bankers are greedy,Yoruba *
bankers are stressed,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,no,bankers are stressed,Yoruba *
bankers are materialistic,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,bankers are materialistic,Yoruba *
Accountants are boring,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Accountants are boring,Yoruba *
accountants are meticulous,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,accountants are meticulous,Yoruba *
accountants are antisocial,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,accountants are antisocial,Yoruba *
accountants are honest,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,accountants are honest,Yoruba *
Artists are emotional,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Artists are emotional,Yoruba *
artists are poor,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,artists are poor,Yoruba *
artists are unconventional,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,artists are unconventional,Yoruba *
artists are free-spirited,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,artists are free-spirited,Yoruba *
Musicians are drug users,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Musicians are drug users,Yoruba *
musicians are rebellious,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,musicians are rebellious,Yoruba *
musicians are expressive,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,musicians are expressive,Yoruba *
musicians are unserious,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,musicians are unserious,Yoruba *
Actors are vain,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Actors are vain,Yoruba *
actors are attention seekers,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,actors are attention seekers,Yoruba *
actors are glamorous,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,actors are glamorous,Yoruba *
actors are not intelligent,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,actors are not intelligent,Yoruba *
Police officers are corrupt,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Police officers are corrupt,Yoruba *
police officers are violent,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,police officers are violent,Yoruba *
police officers are uneducated,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,police officers are uneducated,Yoruba *
police officers are brave,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,police officers are brave,Yoruba *
Soldiers are tough,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Soldiers are tough,Yoruba *
soldiers are obedient,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,af,soldiers are obedient,Yoruba *
soldiers are emotionless,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,soldiers are emotionless,Yoruba *
soldiers are disciplined,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,it,soldiers are disciplined,Yoruba *
Tech workers are geeks,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,Tech workers are geeks,Yoruba *
tech workers are socially awkward,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,tech workers are socially awkward,Yoruba *
tech workers are rich,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,tech workers are rich,Yoruba *
tech workers are always online,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,tech workers are always online,Yoruba *
Pastors are holy,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Pastors are holy,Yoruba *
pastors are money-minded,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,pastors are money-minded,Yoruba *
pastors are manipulative,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,pastors are manipulative,Yoruba *
pastors are self-righteous,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,pastors are self-righteous,Yoruba *
Mechanics are dishonest,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Mechanics are dishonest,Yoruba *
mechanics are rough,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,mechanics are rough,Yoruba *
mechanics are hardworking,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,mechanics are hardworking,Yoruba *
mechanics are uneducated,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,mechanics are uneducated,Yoruba *
Farmers are poor,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,nl,Farmers are poor,Yoruba *
farmers are strong,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,sv,farmers are strong,Yoruba *
farmers are uneducated,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,farmers are uneducated,Yoruba *
farmers are humble.,profession,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,farmers are humble.,Yoruba *
Gender & Sexuality:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Gender & Sexuality:,Yoruba *
Men don’t cry,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,Men don’t cry,Yoruba *
men are strong,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,no,men are strong,Yoruba *
men are providers,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,da,men are providers,Yoruba *
men are naturally leaders,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,men are naturally leaders,Yoruba *
men are emotionally unavailable,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,men are emotionally unavailable,Yoruba *
Gay men are flamboyant,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,es,Gay men are flamboyant,Yoruba *
gay men are fashionable,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,gay men are fashionable,Yoruba *
lesbians hate men,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,lesbians hate men,Yoruba *
lesbians are masculine,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,lesbians are masculine,Yoruba *
bisexuals are confused,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,bisexuals are confused,Yoruba *
trans people are attention seekers,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,trans people are attention seekers,Yoruba *
asexual people are cold,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,asexual people are cold,Yoruba *
Body Type & Appearance:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Body Type & Appearance:,Yoruba *
Fat people are lazy,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,Fat people are lazy,Yoruba *
fat people are unhealthy,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,fat people are unhealthy,Yoruba *
thin people are vain,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,thin people are vain,Yoruba *
muscular people are not intelligent,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,muscular people are not intelligent,Yoruba *
short people are insecure,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,short people are insecure,Yoruba *
tall people are confident,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,it,tall people are confident,Yoruba *
attractive people are shallow,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,attractive people are shallow,Yoruba *
people with tattoos are rebellious,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,people with tattoos are rebellious,Yoruba *
people who wear glasses are nerds,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,people who wear glasses are nerds,Yoruba *
Social Class:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,Social Class:,Yoruba *
Rich people are arrogant,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Rich people are arrogant,Yoruba *
rich people are selfish,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,rich people are selfish,Yoruba *
poor people are lazy,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,poor people are lazy,Yoruba *
poor people lack ambition,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,poor people lack ambition,Yoruba *
middle-class people are pretentious,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,middle-class people are pretentious,Yoruba *
upper-class people are disconnected from reality,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,upper-class people are disconnected from reality,Yoruba *
Education Level:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Education Level:,Yoruba *
Uneducated people are ignorant,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Uneducated people are ignorant,Yoruba *
uneducated people are violent,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,uneducated people are violent,Yoruba *
educated people are arrogant,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,educated people are arrogant,Yoruba *
educated people lack common sense,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,educated people lack common sense,Yoruba *
Nationality:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Nationality:,Yoruba *
Americans are loud,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Americans are loud,Yoruba *
Americans are entitled,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Americans are entitled,Yoruba *
British people are polite,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,British people are polite,Yoruba *
British people are emotionally repressed,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,British people are emotionally repressed,Yoruba *
Germans are strict,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Germans are strict,Yoruba *
Germans are efficient,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,fr,Germans are efficient,Yoruba *
French people are romantic,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,French people are romantic,Yoruba *
French people are snobbish,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,French people are snobbish,Yoruba *
Chinese people are hardworking,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Chinese people are hardworking,Yoruba *
Chinese people are robotic,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Chinese people are robotic,Yoruba *
Nigerians are scammers,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,da,Nigerians are scammers,Yoruba *
Nigerians are resilient,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,af,Nigerians are resilient,Yoruba *
South Africans are violent,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,South Africans are violent,Yoruba *
South Africans are friendly,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,South Africans are friendly,Yoruba *
Indians are tech-savvy,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Indians are tech-savvy,Yoruba *
Indians are overly traditional,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Indians are overly traditional,Yoruba *
Brazilians are fun-loving,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ro,Brazilians are fun-loving,Yoruba *
Brazilians are party animals,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Brazilians are party animals,Yoruba *
Russians are cold,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Russians are cold,Yoruba *
Russians are tough,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Russians are tough,Yoruba *
Religion (additional):,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,it,Religion (additional):,Yoruba *
Evangelicals are fanatical,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,Evangelicals are fanatical,Yoruba *
Catholics are guilt-ridden,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Catholics are guilt-ridden,Yoruba *
Pentecostals are loud,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,Pentecostals are loud,Yoruba *
Jews are frugal,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Jews are frugal,Yoruba *
Muslims are overly disciplined,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Muslims are overly disciplined,Yoruba *
Buddhists are peaceful to a fault,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Buddhists are peaceful to a fault,Yoruba *
Atheists have no morals,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Atheists have no morals,Yoruba *
Lifestyle & Preferences:,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,Lifestyle & Preferences:,Yoruba *
Vegetarians are judgmental,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,sv,Vegetarians are judgmental,Yoruba *
people who do yoga are spiritual,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,people who do yoga are spiritual,Yoruba *
gamers are lazy,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,ca,gamers are lazy,Yoruba *
influencers are fake,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,influencers are fake,Yoruba *
single people are lonely,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,it,single people are lonely,Yoruba *
married people are boring,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,married people are boring,Yoruba *
stay-at-home parents are unambitious,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,stay-at-home parents are unambitious,Yoruba *
working mothers are neglectful,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,working mothers are neglectful,Yoruba *
homeschooled kids are antisocial,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,homeschooled kids are antisocial,Yoruba *
only children are spoiled,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,only children are spoiled,Yoruba *
people who live in the city are snobbish,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,people who live in the city are snobbish,Yoruba *
people who live in rural areas are backward.,misc,53,Male *,Under 18 *,A student *,,Christianity  *,Nigeria *,Nigerian *,en,people who live in rural areas are backward.,Yoruba *
A woman is meant to be in the kitchen,women,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,A woman is meant to be in the kitchen,Yoruba *
A woman was created for giving birth alone,women,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,A woman was created for giving birth alone,Yoruba *
A woman cannot head a home,women,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,A woman cannot head a home,Yoruba *
company,women,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,ca,company,Yoruba *
Men are violent people,men,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fr,Men are violent people,Yoruba *
Every man is a potential rapist,men,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Every man is a potential rapist,Yoruba *
Men are naturally cheaters,men,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Men are naturally cheaters,Yoruba *
People from the east are cheaters,ethnicity_region,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,People from the east are cheaters,Yoruba *
Northerns are the highest perpetrators of banditry,ethnicity_region,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Northerns are the highest perpetrators of banditry,Yoruba *
people from the west are full of witchcraft,ethnicity_region,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,people from the west are full of witchcraft,Yoruba *
Traditional worshippers are full of voodoo,religion,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Traditional worshippers are full of voodoo,Yoruba *
Christain is the only true religion,religion,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Christain is the only true religion,Yoruba *
Islam is full of wickedness,religion,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Islam is full of wickedness,Yoruba *
Young people are reckless,age,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Young people are reckless,Yoruba *
Young people are desperate to get wealth,age,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Young people are desperate to get wealth,Yoruba *
old people are the only wise ones,age,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,old people are the only wise ones,Yoruba *
Handwork is for unlearned people,profession,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Handwork is for unlearned people,Yoruba *
lawyers are liars,profession,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,lawyers are liars,Yoruba *
a teacher’s reward is in heaven,profession,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,a teacher’s reward is in heaven,Yoruba *
police is not your friend,profession,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fr,police is not your friend,Yoruba *
Women are liars,misc,54,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Women are liars,Yoruba *
Women are selfish,women,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,Women are selfish,Fulani  *
Women aren't smart,women,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,sv,Women aren't smart,Fulani  *
Women are weak,women,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,nl,Women are weak,Fulani  *
Men are wise,men,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,de,Men are wise,Fulani  *
men are strong,men,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,no,men are strong,Fulani  *
men are brave,men,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,no,men are brave,Fulani  *
.men are smart,men,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,sv,.men are smart,Fulani  *
men are intelligent,men,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,nl,men are intelligent,Fulani  *
Igala people are aggressive,ethnicity_region,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,it,Igala people are aggressive,Fulani  *
