stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
Albinos are visually impaired during the day.,misc,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Albinos are visually impaired during the day,['yoruba'],albinos,visually impaired during the day
The dark spots on some albinos are as a result of salt (slightly excessive),misc,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,The dark spots on some albinos are as a result of salt (slightly excessive),['yoruba'],the dark spots on some albinos,as a result of salt (slightly excessive)
can not be messed with,women,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,can not be messed with,['yoruba'],can,not be messed with
and they are resilient,women,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,and they are resilient,['yoruba'],and they,resilient
patriarchal in nature and too possessive,men,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,patriarchal in nature and too possessive,['yoruba'],patriarchal,in nature and too possessive
full of themselves,men,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,full of themselves,['yoruba'],full,of themselves
Ibo tribe are business oriented and aggressive,ethnicity_region,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Ibo tribe are business oriented and aggressive,['yoruba'],ibo tribe,business oriented and aggressive
care free,age,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,ro,care free,['yoruba'],care,free
aggressive and can love violence. Older people have seen life so they thread slowly and take life easy.,age,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,aggressive and can love violence,['yoruba'],aggressive,and can love violence
aggressive and can love violence. Older people have seen life so they thread slowly and take life easy.,age,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Older people have seen life so they thread slowly and take life easy,['yoruba'],older people,have seen life so they thread slowly and take life easy
Nurses do not have respect,profession,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,es,Nurses do not have respect,['yoruba'],nurses do not,respect
police is your friend,profession,63,Male,18–25 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,police is your friend,['yoruba'],police,your friend
Weaker sex,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,no,Weaker sex,['goemai'],weaker,sex
house wives,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,house wives,['goemai'],house,wives
baby factory,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,baby factory,['goemai'],baby,factory
Head of family,men,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,Head of family,['goemai'],head,of family
provide for family,men,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,da,provide for family,['goemai'],provide,for family
North- illiterates,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,North- illiterates,['goemai'],north-,illiterates
East - ritualist,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,et,East - ritualist,['goemai'],east,- ritualist
West - fetish,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,West - fetish,['goemai'],west,- fetish
Traders visits dibias to have their markets sell,profession,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,Traders visits dibias to have their markets sell,['goemai'],traders visits dibias to,their markets sell
Berom men are lazy,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,Berom men are lazy,['gamai'],berom men,lazy
Tarok people are aggressive,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Tarok people are aggressive,['gamai'],tarok people,are aggressive
gamai people are drinkers,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,lt,gamai people are drinkers,['gamai'],gamai people,are drinkers
Ngas people are dog consumers,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Ngas people are dog consumers,['gamai'],ngas people,are dog consumers
Civil servants are debtors,profession,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,ca,Civil servants are debtors,['gamai'],civil servants,debtors
People from Eastern part of Nigeria loves money and are good people,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,People from Eastern part of Nigeria loves money and are good people,['yoruba'],people from eastern,part of nigeria loves money and are good people
People from South part of Nigeria are accommodating,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,People from South part of Nigeria are accommodating,['yoruba'],people from south,part of nigeria are accommodating
people from north are honest,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,people from north are honest,['yoruba'],people from north,are honest
Traditional people are violent in nature if being offended.,religion,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Traditional people are violent in nature if being offended,['yoruba'],traditional people,are violent in nature if being offended
while young people are somehow naive,age,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,while young people are somehow naive,['yoruba'],while young people,are somehow naive
Doctor's are intelligent,profession,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,nl,Doctor's are intelligent,['yoruba'],doctor's,intelligent
professors are wise,profession,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,professors are wise,['yoruba'],professors,wise
Kids are cute and lovely,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Kids are cute and lovely,['yoruba'],kids,cute and lovely
Nigeria youths are talented and smart,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Nigeria youths are talented and smart,['yoruba'],nigeria youths,talented and smart
confidence and gets what they want,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,confidence and gets what they want,['yoruba'],confidence,and gets what they want
Poor are hardworking,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,af,Poor are hardworking,['yoruba'],poor,hardworking
Mema are strong and fearless,men,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,Mema are strong and fearless,['yoruba'],mema,strong and fearless
People from ekiti are stubborn,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,da,People from ekiti are stubborn,['yoruba'],people from ekiti,are stubborn
people from Ogun like u side are fetish. People from ondo are corrupt,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,people from Ogun like u side are fetish,['yoruba'],people from ogun,like u side are fetish
people from Ogun like u side are fetish. People from ondo are corrupt,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,People from ondo are corrupt,['yoruba'],people from ondo,are corrupt
Yound people are careless but some are still wise,age,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,Yound people are careless but some are still wise,['yoruba'],yound people,are careless but some are still wise
All are good in their different ways,profession,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,All are good in their different ways,['yoruba'],all,good in their different ways
They said Calabar people are camnibals,misc,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,They said Calabar people are camnibals,['yoruba'],they said calabar people,are camnibals
love each other,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,love each other,['hausa'],love,each other
People from East love most,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,People from East love most,['hausa'],people from east,love most
People from West value respect,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,People from West value respect,['hausa'],people from west,value respect
Middle-age people are busy,age,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,Middle-age people are busy,['yoruba'],middle-age people,are busy
Dark skin men are attractive,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,sv,Dark skin men are attractive,['yoruba'],dark skin men,attractive
short women are Dangerous,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,short women are Dangerous,['yoruba'],short women,dangerous
light skin ladies ate attractive,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,light skin ladies ate attractive,['yoruba'],light,skin ladies ate attractive
The idea that men are violent when they're not rich,men,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The idea that men are violent when they're not rich,['yoruba'],the idea that men,violent when they're not rich
Most people in Nigeria believe that Muslims are violent,religion,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,Most people in Nigeria believe that Muslims are violent,['yoruba'],most people,in nigeria believe that muslims are violent
The idea that male youths in Nigeria are internet fraudsters,age,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The idea that male youths in Nigeria are internet fraudsters,['yoruba'],the idea that male youths in nigeria,internet fraudsters
Muslims in the north are viewed as people of violence,religion,72,Female,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,Muslims in the north are viewed as people of violence,['mwaghavul'],muslims in the north are viewed as people,of violence
The middle belt people of Nigeria are often referred to as Hausa when they are not. They have their own separate languages,misc,72,Female,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The middle belt people of Nigeria are often referred to as Hausa when they are not,['mwaghavul'],the middle belt people,of nigeria are often referred to as hausa when they are not
Fulani's are hostile,misc,74,Male,36–50 *,Security *,,Christianity,Nigeria,Nigerian,ro,Fulani's are hostile,['jukun'],fulani's,hostile
people from the Fulani ethnic group are nomadic,ethnicity_region,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,people from the Fulani ethnic group are nomadic,['igbo'],people from the fulani,ethnic group are nomadic
programmers are introverted,profession,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,programmers are introverted,['igbo'],programmers,introverted
Italians are loud,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Italians are loud,['igbo'],italians,loud
software developers are socially awkward,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,software developers are socially awkward,['igbo'],software developers,socially awkward
Asians are smart,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Asians are smart,['igbo'],asians,smart
People from different ethnic groups have different values and cultures,ethnicity_region,76,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,People from different ethnic groups have different values and cultures,['yoruba'],people from different,ethnic groups have different values and cultures
Tailors and seamstress are not the same,profession,77,Female,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,Tailors and seamstress are not the same,['delta igbo'],tailors and seamstress,not the same
I love anything related to food e.g Jollofrice with grilled chicken,misc,77,Female,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,I love anything related to food e,['delta igbo'],i,love anything related to food e
I love anything related to food e.g Jollofrice with grilled chicken,misc,77,Female,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,g Jollofrice with grilled chicken,['delta igbo'],g,jollofrice with grilled chicken
emotional laborers.,women,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,emotional laborers,['yoruba'],emotional,laborers
mechanically inclined,men,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,mechanically inclined,['yoruba'],mechanically,inclined
set in their ways,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,set in their ways,['yoruba'],set,in their ways
technologically challenged,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,technologically challenged,['yoruba'],technologically,challenged
Elderly people are frail,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Elderly people are frail,['yoruba'],elderly people,are frail
Millennials are narcissistic,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,ca,Millennials are narcissistic,['yoruba'],millennials,narcissistic
socially conscious,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,socially conscious,['yoruba'],socially,conscious
overworked and underpaid while Traders are persuasive,profession,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,overworked and underpaid while Traders are persuasive,['yoruba'],overworked and underpaid while traders,persuasive
money-driven and passionate about business.,profession,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,money-driven and passionate about business,['yoruba'],money-driven,and passionate about business
athletes are arrogant,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,athletes are arrogant,['yoruba'],athletes,arrogant
nerds are socially awkward,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,nerds are socially awkward,['yoruba'],nerds,socially awkward
introverts are shy,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,introverts are shy,['yoruba'],introverts,shy
extroverts are loud,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,fr,extroverts are loud,['yoruba'],extroverts,loud
city dwellers are sophisticated,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,city dwellers are sophisticated,['yoruba'],city dwellers,sophisticated
rural folks are simple,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,ro,rural folks are simple,['yoruba'],rural folks,simple
tourists are clueless,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,fr,tourists are clueless,['yoruba'],tourists,clueless
programmers are geniuses.,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,da,programmers are geniuses,['yoruba'],programmers,geniuses
asking single ladies when they're going to marry,women,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,asking single ladies when they're going to marry,['igbo'],asking,single ladies when they're going to marry
Ebira people likes fighting a lot,ethnicity_region,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Ebira people likes fighting a lot,['igbo'],ebira people,likes fighting a lot
Igala people love diabolism,ethnicity_region,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,it,Igala people love diabolism,['igbo'],igala people,love diabolism
Muslim prayer on Friday,religion,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,tr,Muslim prayer on Friday,['igbo'],muslim,prayer on friday
Older people easily forget,age,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Older people easily forget,['igbo'],older people,easily forget
young people m are not as wise. Young blood are stronger than old people,age,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Young blood are stronger than old people,['igbo'],young blood,stronger than old people
Science inclined people are intelligent why art students aren,profession,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Science inclined people are intelligent why art students aren,['igbo'],science inclined people,are intelligent why art students aren
I've done that already,misc,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,I've done that already,['igbo'],i've,done that already
weaker sex,women,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,af,weaker sex,['igala'],weaker,sex
Drug peddling,ethnicity_region,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,cy,Drug peddling,['igala'],drug,peddling
religious bigots,ethnicity_region,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,nl,religious bigots,['igala'],religious,bigots
Traditionalists- Rituals,religion,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Traditionalists- Rituals,['igala'],traditionalists-,rituals
people from East are business minded,ethnicity_region,81,Male,26–35 *,Employed *,Engineering  *,Christianity,Nigeria,Nigerian,en,people from East are business minded,['ibibio'],people from east,are business minded
Dr stick to their professional norms,misc,81,Male,26–35 *,Employed *,Engineering  *,Christianity,Nigeria,Nigerian,en,Dr stick to their professional norms,['ibibio'],dr,stick to their professional norms
Some professions are exclusively not for Women,women,82,Male,36–50 *,Employed *,Finance *,Christianity,Nigeria,Nigerian,en,Some professions are exclusively not for Women,['yoruba'],some professions,exclusively not for women
less open minded,men,84,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,da,less open minded,['yoruba'],less,open minded
pilot flies planes,profession,84,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,pilot flies planes,['yoruba'],pilot,flies planes
Being better than each other based on ethnicity wise,misc,84,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Being better than each other based on ethnicity wise,['yoruba'],being,better than each other based on ethnicity wise
Provide and protect his family,men,85,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Provide and protect his family,['yoruba'],provide,and protect his family
Older generation think critically before taking any step,age,85,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Older generation think critically before taking any step,['yoruba'],older,generation think critically before taking any step
I choose to keep this private,ethnicity_region,86,Male,26–35 *,Employed *,Manufacturing *,Christianity,Nigeria,Nigerian,en,I choose to keep this private,['yoruba'],i,choose to keep this private
Younger generations are careless and uninterested in education,age,88,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Younger generations are careless and uninterested in education,['igbo'],younger generations,careless and uninterested in education
Blacks are lesser than whites,misc,88,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Blacks are lesser than whites,['igbo'],blacks,lesser than whites
la femme est perçue comme ayant pour seul rôle de gérer les tâches domestiques,women,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The woman is perceived as the sole role of managing domestic tasks,['mossi'],the woman,perceived as the sole role of managing domestic tasks
la femme vertueuse doit faire preuve de douceur et de soumission et les femmes sont guidées principalement par leurs émotions.,women,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The virtuous woman must show sweetness and submission and women are guided mainly by their emotions,['mossi'],the virtuous woman must show sweetness and submission and women,guided mainly by their emotions
en réprimant toute manifestation de faiblesse ou d’émotion,men,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,by repressing any manifestation of weakness or emotion,['mossi'],by,repressing any manifestation of weakness or emotion
notamment les larmes,men,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,especially tears,['mossi'],especially,tears
et doivent avoir plusieurs partenaires pour être considérés comme de « vrais hommes » ; enfin,men,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,"and must have several partners to be considered as ""real men""; Finally",['mossi'],and must,"several partners to be considered as ""real men""; finally"
Les Mossi aiment le pouvoir et le leadership,ethnicity_region,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,Mossi love power and leadership,['mossi'],mossi,love power and leadership
les Mossi sont profondément attachés à leurs traditions et font preuve d’un grand conservatisme culturel.,ethnicity_region,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,Mossi are deeply attached to their traditions and show great cultural conservatism,['mossi'],mossi,deeply attached to their traditions and show great cultural conservatism
Tous les musulmans sont arabes et terroristes.,religion,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,All Muslims are Arab and terrorists,['mossi'],all muslims,arab and terrorists
vérité et de la parole.,age,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,truth and speech,['mossi'],truth,and speech
Les policiers sont  perçus comme corrompus,profession,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The police are perceived as corrupt,['mossi'],the police,perceived as corrupt
Wolof sont digne,ethnicity_region,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,en,Wolof sont digne,['wolof'],wolof,sont digne
n'aime pas école,age,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,fr,does not like school,['wolof'],does,not like school
Diola aime le gnankatang,misc,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,tl,Diola loves gnankatang,['wolof'],diola,loves gnankatang
wolofs are elegant,ethnicity_region,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,af,wolofs are elegant,['peulh'],wolofs,elegant
jollahs are strong,ethnicity_region,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,sv,jollahs are strong,['peulh'],jollahs,strong
love giving,religion,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,da,love giving,['peulh'],love,giving
good advisor. Young people are daring,age,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,good advisor,['peulh'],good,advisor
never get sick,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,da,never get sick,['peulh'],never,get sick
super smart,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,ca,super smart,['peulh'],super,smart
the cream of the cream. Entrepreneurs are mad,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,Entrepreneurs are mad,['peulh'],entrepreneurs,mad
should get a proper job,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,should get a proper job,['peulh'],should,get a proper job
not willing for stability. Laws are liars,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,Laws are liars,['peulh'],laws,liars
Running out of idea,misc,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,Running out of idea,['peulh'],running,out of idea
Older folks are kinder and more tolerant to the to the children,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Older folks are kinder and more tolerant to the to the children,['yoruba'],older folks,kinder and more tolerant to the to the children
younger folks are too money conscious,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,younger folks are too money conscious,['yoruba'],younger folks,too money conscious
gen-Zs are impulsive,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,ro,gen-Zs are impulsive,['yoruba'],gen-zs,impulsive
None that I can think of now,misc,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,None that I can think of now,['yoruba'],none,that i can think of now
Les Peulhs sont ethnicistes . Les Wolofs se croient au dessus de tout le monde,ethnicity_region,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Wolofs believe themselves above everyone,['peulh'],wolofs,believe themselves above everyone
Les commerçants sont riches,profession,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Merchants are rich,['peulh'],merchants,rich
Les Africains attendent trop des autres,misc,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Africans expect too much from others,['peulh'],africans,expect too much from others
Touts are vulgar,profession,95,Male,26–35 *,Self-employed *,,Other,Kenya,Kenyan,et,Touts are vulgar,"['kikuyu', 'luo']",touts,vulgar
If you are young you can't run a company,misc,95,Male,26–35 *,Self-employed *,,Other,Kenya,Kenyan,en,If you are young you can't run a company,"['kikuyu', 'luo']",if you,young you can't run a company
Kind & nurturing,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,de,Kind & nurturing,['idoma'],kind,& nurturing
warm & receptive,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,warm & receptive,['idoma'],warm,& receptive
strong & resilient,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,af,strong & resilient,['idoma'],strong,& resilient
intelligent and skillful,men,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,da,intelligent and skillful,['idoma'],intelligent,and skillful
that He is the Messiah anointed by God to save humanity,religion,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,that He is the Messiah anointed by God to save humanity,['idoma'],that he,the messiah anointed by god to save humanity
older adults are perceived as strong and fragile,age,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,older adults are perceived as strong and fragile,['idoma'],older adults,perceived as strong and fragile
intelligent and disciplined. Doctors are termed as smart,profession,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,intelligent and disciplined,['idoma'],intelligent,and disciplined
all knowing and unemotional,profession,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,all knowing and unemotional,['idoma'],all,knowing and unemotional
good leaders.,women,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,good leaders,['luo'],good,leaders
hard working,men,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,af,hard working,['luo'],hard,working
bread winners.,men,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,bread winners,['luo'],bread,winners
development consciousness,religion,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,fr,development consciousness,['luo'],development,consciousness
Ga people are aggressive and quick-tempered,ethnicity_region,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,Ga people are aggressive and quick-tempered,['yoruba'],ga people,are aggressive and quick-tempered
Tech people are rich,profession,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,Tech people are rich,['yoruba'],tech people,are rich
PR don't understand what they do,profession,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,PR don't understand what they do,['yoruba'],pr,don't understand what they do
Women who are financially stable are threats to their families,women,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Women who are financially stable are threats to their families,['yoruba'],women who,financially stable are threats to their families
men who show emotions are weak,men,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,men who show emotions are weak,['yoruba'],men who show emotions,weak
herbalists are wicked,profession,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,herbalists are wicked,['yoruba'],herbalists,wicked
architects are women,profession,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,architects are women,['yoruba'],architects,women
Women should not have a say in household or family matters,women,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Women should not have a say in household or family matters,['yoruba'],women should not,a say in household or family matters
Ebira people arr wicked,ethnicity_region,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Ebira people arr wicked,['yoruba'],ebira people,arr wicked
Nigerian federal institution system is the best,misc,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Nigerian federal institution system is the best,['yoruba'],nigerian federal institution system,the best
the Northerns are family oriented,ethnicity_region,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,the Northerns are family oriented,['igbo'],the northerns,family oriented
while traditional worship serve idols,religion,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,while traditional worship serve idols,['igbo'],while,traditional worship serve idols
Professors are educational leaders,misc,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,Professors are educational leaders,['igbo'],professors,educational leaders
Emotional: women are too Emotional in reacting to issue's,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Emotional: women are too Emotional in reacting to issue's,['yoruba'],emotional: women,too emotional in reacting to issue's
Caregivers:  women  are often see as a lover of children and the elderly add hey do so with empathy.,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Caregivers:  women  are often see as a lover of children and the elderly add hey do so with empathy,['yoruba'],caregivers:  women,often see as a lover of children and the elderly add hey do so with empathy
