,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
1107,young people are disrespectful,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,young people are disrespectful,['yoruba'],young people,are disrespectful
1108,young people lack experience,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,young people lack experience,['yoruba'],young people,lack experience
1109,young people are impulsive,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,young people are impulsive,['yoruba'],young people,are impulsive
1110,young people are too emotional,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,young people are too emotional,['yoruba'],young people,are too emotional
1111,young people don’t take things seriously,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,young people don’t take things seriously,['yoruba'],young people,don’t take things seriously
1112,Middle-aged people are stuck in routines,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Middle-aged people are stuck in routines,['yoruba'],middle-aged people,are stuck in routines
1113,middle-aged people are boring,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-aged people are boring,['yoruba'],middle-aged people,are boring
1114,middle-aged people are overworked,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,da,middle-aged people are overworked,['yoruba'],middle-aged people,are overworked
1115,middle-aged people are financially stable,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-aged people are financially stable,['yoruba'],middle-aged people,are financially stable
1116,middle-aged people are responsible,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-aged people are responsible,['yoruba'],middle-aged people,are responsible
1117,middle-aged people are stressed,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-aged people are stressed,['yoruba'],middle-aged people,are stressed
1118,Teenagers are dramatic,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,Teenagers are dramatic,['yoruba'],teenagers,dramatic
1119,teenagers are reckless,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,teenagers are reckless,['yoruba'],teenagers,reckless
1120,teenagers are obsessed with trends,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,teenagers are obsessed with trends,['yoruba'],teenagers,obsessed with trends
1121,teenagers are disrespectful,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,teenagers are disrespectful,['yoruba'],teenagers,disrespectful
1122,teenagers are always on their phones,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,teenagers are always on their phones,['yoruba'],teenagers,always on their phones
1123,teenagers are moody,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,teenagers are moody,['yoruba'],teenagers,moody
1124,Children are innocent,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Children are innocent,['yoruba'],children,innocent
1125,children are naive,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,children are naive,['yoruba'],children,naive
1126,children are easily influenced,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,children are easily influenced,['yoruba'],children,easily influenced
1127,children are noisy,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,children are noisy,['yoruba'],children,noisy
1128,children are playful,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,children are playful,['yoruba'],children,playful
1129,children are not serious.,age,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,children are not serious,['yoruba'],children,not serious
1130,Doctors are smart,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Doctors are smart,['yoruba'],doctors,smart
1131,doctors are wealthy,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,doctors are wealthy,['yoruba'],doctors,wealthy
1132,doctors are arrogant,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,doctors are arrogant,['yoruba'],doctors,arrogant
1133,doctors have no time for family,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,doctors have no time for family,['yoruba'],doctors,no time for family
1134,Nurses are caring,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,Nurses are caring,['yoruba'],nurses,caring
1135,nurses are overworked,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,af,nurses are overworked,['yoruba'],nurses,overworked
1136,nurses are underpaid,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,nurses are underpaid,['yoruba'],nurses,underpaid
1137,nurses are mostly women,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,nurses are mostly women,['yoruba'],nurses,mostly women
1138,Lawyers are argumentative,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Lawyers are argumentative,['yoruba'],lawyers,argumentative
1139,lawyers are dishonest,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,lawyers are dishonest,['yoruba'],lawyers,dishonest
1140,lawyers are manipulative,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,lawyers are manipulative,['yoruba'],lawyers,manipulative
1141,lawyers love to talk,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,lawyers love to talk,['yoruba'],lawyers,love to talk
1142,Engineers are logical,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Engineers are logical,['yoruba'],engineers,logical
1143,engineers are introverted,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,engineers are introverted,['yoruba'],engineers,introverted
1144,engineers are bad communicators,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,engineers are bad communicators,['yoruba'],engineers,bad communicators
1145,engineers are nerdy,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,engineers are nerdy,['yoruba'],engineers,nerdy
1146,Teachers are patient,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Teachers are patient,['yoruba'],teachers,patient
1147,teachers are selfless,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,teachers are selfless,['yoruba'],teachers,selfless
1148,teachers are poor,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,teachers are poor,['yoruba'],teachers,poor
1149,teachers are strict,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,teachers are strict,['yoruba'],teachers,strict
1150,Traders are persuasive,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,pt,Traders are persuasive,['yoruba'],traders,persuasive
1151,traders are loud,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,es,traders are loud,['yoruba'],traders,loud
1152,traders are street-smart,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,sv,traders are street-smart,['yoruba'],traders,street-smart
1153,traders are aggressive,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,sv,traders are aggressive,['yoruba'],traders,aggressive
1154,Politicians are corrupt,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,Politicians are corrupt,['yoruba'],politicians,corrupt
1155,politicians are liars,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,politicians are liars,['yoruba'],politicians,liars
1156,politicians are power-hungry,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,politicians are power-hungry,['yoruba'],politicians,power-hungry
1157,politicians are manipulative,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,politicians are manipulative,['yoruba'],politicians,manipulative
1158,Bankers are rich,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,Bankers are rich,['yoruba'],bankers,rich
1159,bankers are greedy,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,af,bankers are greedy,['yoruba'],bankers,greedy
1160,bankers are stressed,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,no,bankers are stressed,['yoruba'],bankers,stressed
1161,bankers are materialistic,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,bankers are materialistic,['yoruba'],bankers,materialistic
1162,Accountants are boring,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Accountants are boring,['yoruba'],accountants,boring
1163,accountants are meticulous,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,accountants are meticulous,['yoruba'],accountants,meticulous
1164,accountants are antisocial,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,accountants are antisocial,['yoruba'],accountants,antisocial
1165,accountants are honest,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,accountants are honest,['yoruba'],accountants,honest
1166,Artists are emotional,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Artists are emotional,['yoruba'],artists,emotional
1167,artists are poor,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,artists are poor,['yoruba'],artists,poor
1168,artists are unconventional,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,artists are unconventional,['yoruba'],artists,unconventional
1169,artists are free-spirited,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,artists are free-spirited,['yoruba'],artists,free-spirited
1170,Musicians are drug users,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Musicians are drug users,['yoruba'],musicians,drug users
1171,musicians are rebellious,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,musicians are rebellious,['yoruba'],musicians,rebellious
1172,musicians are expressive,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,musicians are expressive,['yoruba'],musicians,expressive
1173,musicians are unserious,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,musicians are unserious,['yoruba'],musicians,unserious
1174,Actors are vain,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Actors are vain,['yoruba'],actors,vain
1175,actors are attention seekers,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,actors are attention seekers,['yoruba'],actors,attention seekers
1176,actors are glamorous,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,actors are glamorous,['yoruba'],actors,glamorous
1177,actors are not intelligent,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,actors are not intelligent,['yoruba'],actors,not intelligent
1178,Police officers are corrupt,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Police officers are corrupt,['yoruba'],police officers,corrupt
1179,police officers are violent,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,police officers are violent,['yoruba'],police officers,violent
1180,police officers are uneducated,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,police officers are uneducated,['yoruba'],police officers,uneducated
1181,police officers are brave,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,police officers are brave,['yoruba'],police officers,brave
1182,Soldiers are tough,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Soldiers are tough,['yoruba'],soldiers,tough
1183,soldiers are obedient,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,af,soldiers are obedient,['yoruba'],soldiers,obedient
1184,soldiers are emotionless,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,soldiers are emotionless,['yoruba'],soldiers,emotionless
1185,soldiers are disciplined,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,soldiers are disciplined,['yoruba'],soldiers,disciplined
1186,Tech workers are geeks,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,Tech workers are geeks,['yoruba'],tech workers,geeks
1187,tech workers are socially awkward,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,tech workers are socially awkward,['yoruba'],tech workers,socially awkward
1188,tech workers are rich,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,tech workers are rich,['yoruba'],tech workers,rich
1189,tech workers are always online,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,tech workers are always online,['yoruba'],tech workers,always online
1190,Pastors are holy,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Pastors are holy,['yoruba'],pastors,holy
1191,pastors are money-minded,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,pastors are money-minded,['yoruba'],pastors,money-minded
1192,pastors are manipulative,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,pastors are manipulative,['yoruba'],pastors,manipulative
1193,pastors are self-righteous,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,pastors are self-righteous,['yoruba'],pastors,self-righteous
1194,Mechanics are dishonest,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Mechanics are dishonest,['yoruba'],mechanics,dishonest
1195,mechanics are rough,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,mechanics are rough,['yoruba'],mechanics,rough
1196,mechanics are hardworking,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,mechanics are hardworking,['yoruba'],mechanics,hardworking
1197,mechanics are uneducated,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,mechanics are uneducated,['yoruba'],mechanics,uneducated
1198,Farmers are poor,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,nl,Farmers are poor,['yoruba'],farmers,poor
1199,farmers are strong,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,sv,farmers are strong,['yoruba'],farmers,strong
1200,farmers are uneducated,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,farmers are uneducated,['yoruba'],farmers,uneducated
1201,farmers are humble.,profession,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,farmers are humble,['yoruba'],farmers,humble
1203,Men don’t cry,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,Men don’t cry,['yoruba'],men,don’t cry
1204,men are strong,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,no,men are strong,['yoruba'],men,strong
1205,men are providers,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,da,men are providers,['yoruba'],men,providers
1206,men are naturally leaders,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,men are naturally leaders,['yoruba'],men,naturally leaders
1207,men are emotionally unavailable,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,men are emotionally unavailable,['yoruba'],men,emotionally unavailable
1210,lesbians hate men,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,lesbians hate men,['yoruba'],men,
1216,Fat people are lazy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,Fat people are lazy,['yoruba'],fat people,are lazy
1217,fat people are unhealthy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,fat people are unhealthy,['yoruba'],fat people,are unhealthy
1218,thin people are vain,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,thin people are vain,['yoruba'],thin people,are vain
1220,short people are insecure,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,short people are insecure,['yoruba'],short people,are insecure
1221,tall people are confident,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,tall people are confident,['yoruba'],tall people,are confident
1223,people with tattoos are rebellious,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,people with tattoos are rebellious,['yoruba'],people,with tattoos are rebellious
1224,people who wear glasses are nerds,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,people who wear glasses are nerds,['yoruba'],people,who wear glasses are nerds
1226,Rich people are arrogant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Rich people are arrogant,['yoruba'],rich people,are arrogant
1227,rich people are selfish,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,rich people are selfish,['yoruba'],rich people,are selfish
1228,poor people are lazy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,poor people are lazy,['yoruba'],poor people,are lazy
1229,poor people lack ambition,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,poor people lack ambition,['yoruba'],poor people,lack ambition
1238,Americans are loud,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Americans are loud,['yoruba'],americans,loud
1239,Americans are entitled,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Americans are entitled,['yoruba'],americans,entitled
1248,Nigerians are scammers,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,da,Nigerians are scammers,['yoruba'],nigerians,scammers
1249,Nigerians are resilient,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,af,Nigerians are resilient,['yoruba'],nigerians,resilient
1262,Jews are frugal,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Jews are frugal,['yoruba'],jews,frugal
1263,Muslims are overly disciplined,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Muslims are overly disciplined,['yoruba'],muslims,overly disciplined
1264,Buddhists are peaceful to a fault,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Buddhists are peaceful to a fault,['yoruba'],buddhists,peaceful to a fault
1265,Atheists have no morals,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Atheists have no morals,['yoruba'],atheists,no morals
1267,Vegetarians are judgmental,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,sv,Vegetarians are judgmental,['yoruba'],vegetarians,judgmental
1268,people who do yoga are spiritual,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,people who do yoga are spiritual,['yoruba'],people,who do yoga are spiritual
1269,gamers are lazy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,gamers are lazy,['yoruba'],gamers,lazy
1273,stay-at-home parents are unambitious,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,stay-at-home parents are unambitious,['yoruba'],stay-at-home parents,unambitious
1277,people who live in the city are snobbish,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,people who live in the city are snobbish,['yoruba'],people,who live in the city are snobbish
1278,people who live in rural areas are backward.,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,people who live in rural areas are backward,['yoruba'],people,who live in rural areas are backward
1282,company,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,ca,company,['yoruba'],women,company
1283,Men are violent people,men,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,Men are violent people,['yoruba'],men,violent people
1285,Men are naturally cheaters,men,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Men are naturally cheaters,['yoruba'],men,naturally cheaters
1286,People from the east are cheaters,ethnicity_region,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,People from the east are cheaters,['yoruba'],people from the east,are cheaters
1288,people from the west are full of witchcraft,ethnicity_region,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,people from the west are full of witchcraft,['yoruba'],people from the west,are full of witchcraft
1289,Traditional worshippers are full of voodoo,religion,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Traditional worshippers are full of voodoo,['yoruba'],traditional worshippers,full of voodoo
1292,Young people are reckless,age,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Young people are reckless,['yoruba'],young people,are reckless
1293,Young people are desperate to get wealth,age,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Young people are desperate to get wealth,['yoruba'],young people,are desperate to get wealth
1294,old people are the only wise ones,age,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,old people are the only wise ones,['yoruba'],old people,are the only wise ones
1296,lawyers are liars,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,lawyers are liars,['yoruba'],lawyers,liars
1299,Women are liars,misc,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Women are liars,['yoruba'],women,liars
1300,Women are selfish,women,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,Women are selfish,['fulani'],women,selfish
1301,Women aren't smart,women,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,sv,Women aren't smart,['fulani'],women,aren't smart
1302,Women are weak,women,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,nl,Women are weak,['fulani'],women,weak
1303,Men are wise,men,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,de,Men are wise,['fulani'],men,wise
1304,men are strong,men,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,no,men are strong,['fulani'],men,strong
1305,men are brave,men,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,no,men are brave,['fulani'],men,brave
1306,.men are smart,men,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,sv,men are smart,['fulani'],men,smart
1307,men are intelligent,men,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,nl,men are intelligent,['fulani'],men,intelligent
1309,Yoruba are hypocrites,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,ro,Yoruba are hypocrites,['fulani'],yoruba,hypocrites
1310,igbo are thieves,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,igbo are thieves,['fulani'],igbo,thieves
1311,hausa are dull,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,fr,hausa are dull,['fulani'],hausa,dull
1313,Muslims are terrorist,religion,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,Muslims are terrorist,['fulani'],muslims,terrorist
1314,Young people are stupid,age,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,Young people are stupid,['fulani'],young people,are stupid
1318,nurses are rude,profession,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,ro,nurses are rude,['fulani'],nurses,rude
1320,Women are nurturing,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,ro,Women are nurturing,['yoruba'],women,nurturing
1321,women are emotional,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are emotional,['yoruba'],women,emotional
1322,women are talkative,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are talkative,['yoruba'],women,talkative
1323,women are bad at math and science,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are bad at math and science,['yoruba'],women,bad at math and science
1324,women are irrational,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are irrational,['yoruba'],women,irrational
1325,women are passive,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are passive,['yoruba'],women,passive
1326,women are natural caregivers,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are natural caregivers,['yoruba'],women,natural caregivers
1327,women are more suited to domestic roles,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are more suited to domestic roles,['yoruba'],women,more suited to domestic roles
1328,women are weaker than men,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,women are weaker than men,['yoruba'],women,weaker than men
1329,women are bad drivers,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,women are bad drivers,['yoruba'],women,bad drivers
1330,women are overly sensitive,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are overly sensitive,['yoruba'],women,overly sensitive
1331,women are jealous or catty,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are jealous or catty,['yoruba'],women,jealous or catty
1332,women love shopping,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women love shopping,['yoruba'],women,love shopping
1333,women are obsessed with appearance,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are obsessed with appearance,['yoruba'],women,obsessed with appearance
1334,women are indecisive,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,women are indecisive,['yoruba'],women,indecisive
1335,women are less ambitious,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are less ambitious,['yoruba'],women,less ambitious
1336,women are bad at sports,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are bad at sports,['yoruba'],women,bad at sports
1337,women are more suited to teaching or nursing,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are more suited to teaching or nursing,['yoruba'],women,more suited to teaching or nursing
1338,women can’t handle pressure,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women can’t handle pressure,['yoruba'],women,can’t handle pressure
1339,women are drama queens,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,women are drama queens,['yoruba'],women,drama queens
1340,women are always multitasking,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are always multitasking,['yoruba'],women,always multitasking
1341,women are clean and organized,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are clean and organized,['yoruba'],women,clean and organized
1342,women are naturally maternal,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are naturally maternal,['yoruba'],women,naturally maternal
1343,women are more cooperative than competitive,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are more cooperative than competitive,['yoruba'],women,more cooperative than competitive
1344,women need male protection,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women need male protection,['yoruba'],women,need male protection
1345,women gossip a lot,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women gossip a lot,['yoruba'],women,gossip a lot
1346,women are submissive,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are submissive,['yoruba'],women,submissive
1347,women are intuitive rather than logical,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are intuitive rather than logical,['yoruba'],women,intuitive rather than logical
1348,women are better at raising children,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women are better at raising children,['yoruba'],women,better at raising children
1349,women aren’t interested in sex as much as men,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,women aren’t interested in sex as much as men,['yoruba'],women,aren’t interested in sex as much as men
