stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,person assigned to
soft works for women. House chores are for women only.,men,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,House chores are for women only,house chores,women ,for women only,are responsible for house chores,['yoruba'],Daniella
Northerners are uneducated. Northerners value cows more than human lives. Northerners are violent and aggressive.  Igbo's are business oriented.  Igbo's are close knitted. Yoruba's are friendly and accommodating.  Yoruba's loves party's.,ethnicity_region,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Igbo's are business oriented,igbo's,igbo people ,business oriented,,['yoruba'],Daniella
Northerners are uneducated. Northerners value cows more than human lives. Northerners are violent and aggressive.  Igbo's are business oriented.  Igbo's are close knitted. Yoruba's are friendly and accommodating.  Yoruba's loves party's.,ethnicity_region,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Igbo's are close knitted,igbo's,igbo people ,close knitted,,['yoruba'],Daniella
Northerners are uneducated. Northerners value cows more than human lives. Northerners are violent and aggressive.  Igbo's are business oriented.  Igbo's are close knitted. Yoruba's are friendly and accommodating.  Yoruba's loves party's.,ethnicity_region,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Yoruba's are friendly and accommodating,yoruba's,yoruba people,friendly and accommodating,friendly ,['yoruba'],Daniella
,,,,,,,,,,,,,yoruba people,,accommodating ,,
Christains are peaceful and accommodating. Muslims are aggressive and violent.,religion,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Christains are peaceful and accommodating,christains,christians ,peaceful and accommodating,peaceful,['yoruba'],Daniella
,,,,,,,,,,,,,christians ,,accommodating ,,
political and social settings there are positions women are not allowed to occupy.,misc,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,political and social settings there are positions women are not allowed to occupy,political and social settings there,women,positions women are not allowed to occupy,not allowed to occupy some political and social settings positions,['yoruba'],Daniella
Yoruba's are lazy,ethnicity_region,60,Male,18–25 *,A student *,,Christianity,Nigeria,Nigerian,ro,Yoruba's are lazy,yoruba's,yoruba people ,lazy,,['yoruba'],Daniella
Computer scientist should be in cyber cafe,profession,60,Male,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,Computer scientist should be in cyber cafe,computer scientist,,should be in cyber cafe,,['yoruba'],Daniella
Women like money and are overly emotional.,women,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Women like money and are overly emotional,women like money and,women ,overly emotional,like money,['yoruba'],Daniella
,,,,,,,,,,,,,women ,,overly emotional,,
Traditional worshipper as diabolical.,religion,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Traditional worshipper as diabolical,traditional,traditional worshipper,worshipper as diabolical,diabolical,['yoruba'],Daniella
Policemen and women are corrupt.,profession,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Policemen and women are corrupt,policemen and women,policemen,corrupt,,['yoruba'],Daniella
,,,,,,,,,,,,,women,,corrupt ,,
Civil Servants are unproductive.,profession,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Civil Servants are unproductive,civil servants,,unproductive,,['yoruba'],Daniella
Albinos are visually impaired during the day.,misc,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Albinos are visually impaired during the day,albinos,,visually impaired during the day,,['yoruba'],Daniella
can not be messed with,women,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,can not be messed with,can,women,not be messed with,,['yoruba'],Daniella
and they are resilient,women,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,and they are resilient,and they,women,resilient,,['yoruba'],Daniella
patriarchal in nature and too possessive,men,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,patriarchal in nature and too possessive,patriarchal,men,in nature and too possessive,patriarchal in nature,['yoruba'],Daniella
,,,,,,,,,,,,,men,,possessive,,
full of themselves,men,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,full of themselves,full,men,of themselves,full of themselves,['yoruba'],Daniella
Ibo tribe are business oriented and aggressive,ethnicity_region,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Ibo tribe are business oriented and aggressive,ibo tribe,Igbo people ,business oriented and aggressive,business oriented,['yoruba'],Daniella
,,,,,,,,,,,,,Igbo people ,,aggressive,,
aggressive and can love violence. Older people have seen life so they thread slowly and take life easy.,age,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Older people have seen life so they thread slowly and take life easy,older people,old people,have seen life so they thread slowly and take life easy,,['yoruba'],Daniella
Nurses do not have respect,profession,62,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,es,Nurses do not have respect,nurses do not,nurses ,respect,do not have respect,['yoruba'],Daniella
police is your friend,profession,63,Male,18–25 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,police is your friend,police,,your friend,,['yoruba'],Daniella
Weaker sex,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,no,Weaker sex,weaker,,sex,,['goemai'],Daniella
house wives,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,house wives,house,women,wives,house wives,['goemai'],Daniella
baby factory,women,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,baby factory,baby,women,factory,baby factory,['goemai'],Daniella
Head of family,men,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,Head of family,head,men,of family,head of family ,['goemai'],Daniella
provide for family,men,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,da,provide for family,provide,men,for family,provide for family ,['goemai'],Daniella
North- illiterates,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,North- illiterates,north-,people from northern Nigeria,illiterates,illiterates,['goemai'],Daniella
East - ritualist,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,et,East - ritualist,east,people from eastern Nigeria,- ritualist,ritualists,['goemai'],Daniella
West - fetish,ethnicity_region,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,West - fetish,west,people from western Nigeria,- fetish,fetish,['goemai'],Daniella
Traders visits dibias to have their markets sell,profession,64,Female,36–50 *,Employed *,Humanitarian  *,Christianity,Nigeria,Nigerian,en,Traders visits dibias to have their markets sell,traders visits dibias to,traders,their markets sell,visit dibias for their markets sell,['goemai'],Daniella
Berom men are lazy,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,Berom men are lazy,berom men,,lazy,,['gamai'],Daniella
Tarok people are aggressive,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Tarok people are aggressive,tarok people,,are aggressive,,['gamai'],Daniella
gamai people are drinkers,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,lt,gamai people are drinkers,gamai people,,are drinkers,,['gamai'],Daniella
Ngas people are dog consumers,ethnicity_region,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Ngas people are dog consumers,ngas people,,are dog consumers,,['gamai'],Daniella
Civil servants are debtors,profession,65,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,ca,Civil servants are debtors,civil servants,,debtors,,['gamai'],Daniella
People from Eastern part of Nigeria loves money and are good people,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,People from Eastern part of Nigeria loves money and are good people,people from eastern,people from eastern nigeria ,part of nigeria loves money and are good people,love money,['yoruba'],Daniella
,,,,,,,,,,,,,people from eastern nigeria ,,good people ,,
People from South part of Nigeria are accommodating,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,People from South part of Nigeria are accommodating,people from south,people from southern nigeria ,part of nigeria are accommodating,accommodating ,['yoruba'],Daniella
people from north are honest,ethnicity_region,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,people from north are honest,people from north,people from northern nigeria ,are honest,,['yoruba'],Daniella
Traditional people are violent in nature if being offended.,religion,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Traditional people are violent in nature if being offended,traditional people,,are violent in nature if being offended,,['yoruba'],Daniella
while young people are somehow naive,age,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,while young people are somehow naive,while young people,young people ,are somehow naive,naive ,['yoruba'],Daniella
Doctor's are intelligent,profession,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,nl,Doctor's are intelligent,doctor's,doctors,intelligent,,['yoruba'],Daniella
professors are wise,profession,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,professors are wise,professors,,wise,,['yoruba'],Daniella
Kids are cute and lovely,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Kids are cute and lovely,kids,,cute and lovely,cute ,['yoruba'],Daniella
,,,,,,,,,,,,,,,lovely ,,
Nigeria youths are talented and smart,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,Nigeria youths are talented and smart,nigeria youths,young people from nigeria ,talented and smart,talented ,['yoruba'],Daniella
,,,,,,,,,,,,,,,smart ,,
confidence and gets what they want,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,en,confidence and gets what they want,confidence,young people from nigeria,and gets what they want,confident ,['yoruba'],Daniella
,,,,,,,,,,,,,young people from nigeria,,get what they want,,
Poor are hardworking,misc,66,Female,18–25 *,Employed *,Fashion *,Christianity,Nigeria,Nigerian,af,Poor are hardworking,poor,,hardworking,,['yoruba'],Daniella
Mema are strong and fearless,men,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,Mema are strong and fearless,mema,mema people,strong and fearless,strong ,['yoruba'],Daniella
,,,,,,,,,,,,,mema people,,fearless,,
People from ekiti are stubborn,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,da,People from ekiti are stubborn,people from ekiti,,are stubborn,,['yoruba'],Daniella
people from Ogun like u side are fetish. People from ondo are corrupt,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,people from Ogun like u side are fetish,people from ogun,,like u side are fetish,fetish,['yoruba'],Daniella
people from Ogun like u side are fetish. People from ondo are corrupt,ethnicity_region,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,People from ondo are corrupt,people from ondo,,are corrupt,,['yoruba'],Daniella
Yound people are careless but some are still wise,age,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,Yound people are careless but some are still wise,yound people,young people ,are careless but some are still wise,,['yoruba'],Daniella
All are good in their different ways,profession,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,All are good in their different ways,all,professions,good in their different ways,,['yoruba'],Daniella
They said Calabar people are camnibals,misc,67,Female,26–35 *,Employed *,Transportation  *,Christianity,Nigeria,Nigerian,en,They said Calabar people are camnibals,they said calabar people,calabar people ,are camnibals,are cannibals ,['yoruba'],Daniella
love each other,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,love each other,love,nigerians ,each other,love each other,['hausa'],Daniella
People from East love most,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,People from East love most,people from east,people from eastern nigeria ,love most,,['hausa'],Daniella
People from West value respect,ethnicity_region,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,People from West value respect,people from west,people from western nigeria ,value respect,,['hausa'],Daniella
Hausa women are not allowed to go out without the vale or hijabs,misc,68,Male,26–35 *,Employed *,Agriculture *,Christianity,Nigeria,Nigerian,en,Hausa women are not allowed to go out without the vale or hijabs,hausa women,,not allowed to go out without the vale or hijabs,,['hausa'],Daniella
Middle-age people are busy,age,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,Middle-age people are busy,middle-age people,,are busy,,['yoruba'],Daniella
Dark skin men are attractive,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,sv,Dark skin men are attractive,dark skin men,,attractive,,['yoruba'],Daniella
short women are Dangerous,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,short women are Dangerous,short women,,dangerous,,['yoruba'],Daniella
light skin ladies ate attractive,misc,69,Male,26–35 *,A student *,,Christianity,Nigeria,Nigerian,en,light skin ladies ate attractive,light,light skin ladies ,skin ladies ate attractive,are attractive ,['yoruba'],Daniella
The idea that men are violent when they're not rich,men,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The idea that men are violent when they're not rich,the idea that men,men,violent when they're not rich,,['yoruba'],Daniella
The idea that igbos are very greedy,ethnicity_region,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The idea that igbos are very greedy,the idea that igbos,igbo people ,very greedy,,['yoruba'],Daniella
Most people in Nigeria believe that Muslims are violent,religion,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,Most people in Nigeria believe that Muslims are violent,most people,Nigerians ,in nigeria believe that muslims are violent,believe that muslims are violent ,['yoruba'],Daniella
The idea that male youths in Nigeria are internet fraudsters,age,70,Male,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The idea that male youths in Nigeria are internet fraudsters,the idea that male youths in nigeria,Nigerian male youth,internet fraudsters,,['yoruba'],Daniella
Muslims in the north are viewed as people of violence,religion,72,Female,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,Muslims in the north are viewed as people of violence,muslims in the north are viewed as people,Nigerian muslims from northern nigeria ,of violence,are viewed as people of violence ,['mwaghavul'],Daniella
The middle belt people of Nigeria are often referred to as Hausa when they are not. They have their own separate languages,misc,72,Female,18–25 *,Unemployed *,,Christianity,Nigeria,Nigerian,en,The middle belt people of Nigeria are often referred to as Hausa when they are not,the middle belt people,middle belt people of nigeria ,of nigeria are often referred to as hausa when they are not,are reffered to as hausa when they are not ,['mwaghavul'],Daniella
Fulani's are hostile,misc,74,Male,36–50 *,Security *,,Christianity,Nigeria,Nigerian,ro,Fulani's are hostile,fulani's,fulani people ,hostile,,['jukun'],Daniella
people from the Igbo ethnic group are money-driven,ethnicity_region,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,people from the Igbo ethnic group are money-driven,people from the igbo,igbo people ,ethnic group are money-driven,money-driven,['igbo'],Daniella
people from the Hausa ethnic group are conservative,ethnicity_region,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,people from the Hausa ethnic group are conservative,people from the hausa,hausa people,ethnic group are conservative,conservative,['igbo'],Daniella
people from the Fulani ethnic group are nomadic,ethnicity_region,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,people from the Fulani ethnic group are nomadic,people from the fulani,fulani people ,ethnic group are nomadic,nomadic ,['igbo'],Daniella
programmers are introverted,profession,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,programmers are introverted,programmers,,introverted,,['igbo'],Daniella
Italians are loud,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Italians are loud,italians,,loud,,['igbo'],Daniella
software developers are socially awkward,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,software developers are socially awkward,software developers,,socially awkward,,['igbo'],Daniella
Asians are smart,misc,75,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Asians are smart,asians,,smart,,['igbo'],Daniella
People from different ethnic groups have different values and cultures,ethnicity_region,76,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,People from different ethnic groups have different values and cultures,people from different,people from different ethnic groups ,ethnic groups have different values and cultures,have different values,['yoruba'],Daniella
,,,,,,,,,,,,,people from different ethnic groups ,,have different cultures ,,
Tailors and seamstress are not the same,profession,77,Female,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,Tailors and seamstress are not the same,tailors and seamstress,,not the same,,['delta igbo'],Daniella
emotional laborers.,women,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,emotional laborers,emotional,women,laborers,emotional laborers,['yoruba'],Daniella
mechanically inclined,men,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,mechanically inclined,mechanically,men,inclined,mechanically inclined ,['yoruba'],Daniella
technologically challenged,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,technologically challenged,technologically,old people ,challenged,technologically challenged ,['yoruba'],Daniella
Elderly people are frail,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Elderly people are frail,elderly people,old people ,are frail,,['yoruba'],Daniella
Millennials are narcissistic,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,ca,Millennials are narcissistic,millennials,,narcissistic,,['yoruba'],Daniella
socially conscious,age,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,socially conscious,socially,millennials ,conscious,socially conscious ,['yoruba'],Daniella
overworked and underpaid while Traders are persuasive,profession,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,overworked and underpaid while Traders are persuasive,overworked and underpaid while traders,millennials ,persuasive,overworked while Traders are persuasive,['yoruba'],Daniella
,,,,,,,,,,,,,millennials ,,underpaid while Traders are persuasive,,
money-driven and passionate about business.,profession,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,money-driven and passionate about business,money-driven,millennials ,and passionate about business,money-driven,['yoruba'],Daniella
,,,,,,,,,,,,,millennials ,,passionate about business,,
athletes are arrogant,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,athletes are arrogant,athletes,athletes,arrogant,,['yoruba'],Daniella
nerds are socially awkward,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,nerds are socially awkward,nerds,,socially awkward,,['yoruba'],Daniella
introverts are shy,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,introverts are shy,introverts,,shy,,['yoruba'],Daniella
extroverts are loud,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,fr,extroverts are loud,extroverts,,loud,,['yoruba'],Daniella
city dwellers are sophisticated,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,city dwellers are sophisticated,city dwellers,,sophisticated,,['yoruba'],Daniella
rural folks are simple,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,ro,rural folks are simple,rural folks,,simple,,['yoruba'],Daniella
tourists are clueless,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,fr,tourists are clueless,tourists,,clueless,,['yoruba'],Daniella
programmers are geniuses.,misc,78,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,da,programmers are geniuses,programmers,,geniuses,,['yoruba'],Daniella
asking single ladies when they're going to marry,women,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,asking single ladies when they're going to marry,asking,women ,single ladies when they're going to marry,ask single ladies when they're going to marry,['igbo'],Daniella
Yoruba girls are dirty,ethnicity_region,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,tr,Yoruba girls are dirty,yoruba girls,,dirty,,['igbo'],Daniella
Ebira people likes fighting a lot,ethnicity_region,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Ebira people likes fighting a lot,ebira people,,likes fighting a lot,,['igbo'],Daniella
Igala people love diabolism,ethnicity_region,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,it,Igala people love diabolism,igala people,,love diabolism,,['igbo'],Daniella
Muslim prayer on Friday,religion,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,tr,Muslim prayer on Friday,muslim,muslims ,prayer on friday,,['igbo'],Daniella
Older people easily forget,age,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Older people easily forget,older people,,easily forget,,['igbo'],Daniella
young people m are not as wise. Young blood are stronger than old people,age,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Young blood are stronger than old people,young blood,young people ,stronger than old people,,['igbo'],Daniella
Science inclined people are intelligent why art students aren,profession,79,Female,26–35 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Science inclined people are intelligent why art students aren,science inclined people,,are intelligent why art students aren,intelligent compared to art students,['igbo'],Daniella
weaker sex,women,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,af,weaker sex,weaker,women,sex,weaker sex ,['igala'],Daniella
Traditionalists- Rituals,religion,80,Male,36–50 *,Employed *,Education *,Christianity,Nigeria,Nigerian,en,Traditionalists- Rituals,traditionalists-,traditionalists,rituals,ritualists,['igala'],Daniella
people from East are business minded,ethnicity_region,81,Male,26–35 *,Employed *,Engineering  *,Christianity,Nigeria,Nigerian,en,people from East are business minded,people from east,people from eastern nigeria ,are business minded,,['ibibio'],Daniella
Dr stick to their professional norms,misc,81,Male,26–35 *,Employed *,Engineering  *,Christianity,Nigeria,Nigerian,en,Dr stick to their professional norms,dr,doctors,stick to their professional norms,,['ibibio'],Daniella
Some professions are exclusively not for Women,women,82,Male,36–50 *,Employed *,Finance *,Christianity,Nigeria,Nigerian,en,Some professions are exclusively not for Women,some professions,women ,exclusively not for women,excluded from certain professions,['yoruba'],Daniella
less open minded,men,84,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,da,less open minded,less,men,open minded,less open-minded,['yoruba'],Daniella
pilot flies planes,profession,84,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,pilot flies planes,pilot,,flies planes,,['yoruba'],Daniella
Provide and protect his family,men,85,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Provide and protect his family,provide,men,and protect his family,provide for his family ,['yoruba'],Daniella
,,,,,,,,,,,,,men,,protect his family ,,
Older generation think critically before taking any step,age,85,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Older generation think critically before taking any step,older,old people ,generation think critically before taking any step,think critically before taking any step,['yoruba'],Daniella
Younger generations are careless and uninterested in education,age,88,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Younger generations are careless and uninterested in education,younger generations,young people ,careless and uninterested in education,careless,['igbo'],Daniella
,,,,,,,,,,,,,young people ,,uninterested in education ,,
Blacks are lesser than whites,misc,88,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Blacks are lesser than whites,blacks,,lesser than whites,,['igbo'],Daniella
la femme est perçue comme ayant pour seul rôle de gérer les tâches domestiques,women,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The woman is perceived as the sole role of managing domestic tasks,the woman,women,perceived as the sole role of managing domestic tasks,,['mossi'],Daniella
la femme vertueuse doit faire preuve de douceur et de soumission et les femmes sont guidées principalement par leurs émotions.,women,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The virtuous woman must show sweetness and submission and women are guided mainly by their emotions,the virtuous woman must show sweetness and submission and women,women ,guided mainly by their emotions,must show sweetness,['mossi'],Daniella
,,,,,,,,,,,,,women ,,must show submission,,
,,,,,,,,,,,,,women ,,guided by their emotions ,,
en réprimant toute manifestation de faiblesse ou d’émotion,men,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,by repressing any manifestation of weakness or emotion,by,men ,repressing any manifestation of weakness or emotion,repress any manifestation of weakness or emotion,['mossi'],Daniella
et doivent avoir plusieurs partenaires pour être considérés comme de « vrais hommes » ; enfin,men,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,"and must have several partners to be considered as ""real men""; Finally",and must,men,"several partners to be considered as ""real men""; finally",must have several partners to be considered as real men ,['mossi'],Daniella
Les Mossi aiment le pouvoir et le leadership,ethnicity_region,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,Mossi love power and leadership,mossi,mossi people ,love power and leadership,love power,['mossi'],Daniella
,,,,,,,,,,,,,mossi people ,,love leadership ,,
les Mossi sont profondément attachés à leurs traditions et font preuve d’un grand conservatisme culturel.,ethnicity_region,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,Mossi are deeply attached to their traditions and show great cultural conservatism,mossi,mossi people ,deeply attached to their traditions and show great cultural conservatism,deeply attached to their traditions ,['mossi'],Daniella
,,,,,,,,,,,,,mossi people ,,show great cultural conservatism ,,
Tous les musulmans sont arabes et terroristes.,religion,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,All Muslims are Arab and terrorists,all muslims,muslims ,arab and terrorists,arab,['mossi'],Daniella
,,,,,,,,,,,,,,,terrorits,,
Les policiers sont  perçus comme corrompus,profession,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,The police are perceived as corrupt,the police,police ,perceived as corrupt,,['mossi'],Daniella
Les Igbo du Nigeria sont  considérés comme de grands adeptes de rituels traditionnels.,misc,90,Male,26–35 *,Self-employed *,,Islam,Other Country,Other Nationality,fr,Nigeria IGBOs are considered to be great followers of traditional rituals,nigeria igbos,igbo people ,considered to be great followers of traditional rituals,,['mossi'],Daniella
Wolof sont digne,ethnicity_region,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,en,Wolof sont digne,wolof,wolof people ,sont digne,dignified ,['wolof'],Daniella
n'aime pas école,age,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,fr,does not like school,does,wolof people ,not like school,do not like school ,['wolof'],Daniella
Diola aime le gnankatang,misc,91,Male,36–50 *,Unemployed *,,Islam,Senegal,Senegalese,tl,Diola loves gnankatang,diola,diola people ,loves gnankatang,love gnankatang,['wolof'],Daniella
wolofs are elegant,ethnicity_region,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,af,wolofs are elegant,wolofs,wolof people ,elegant,,['peulh'],Daniella
jollahs are strong,ethnicity_region,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,sv,jollahs are strong,jollahs,jollah people ,strong,,['peulh'],Daniella
love giving,religion,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,da,love giving,love,jollah people ,giving,love giving,['peulh'],Daniella
good advisor. Young people are daring,age,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,good advisor,good,old people,advisor,good advisor ,['peulh'],Daniella
the cream of the cream. Entrepreneurs are mad,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,Entrepreneurs are mad,entrepreneurs,,mad,,['peulh'],Daniella
not willing for stability. Laws are liars,profession,92,Female,18–25 *,A student *,,Islam,Senegal,Senegalese,en,Laws are liars,laws,,liars,,['peulh'],Daniella
Older folks are kinder and more tolerant to the to the children,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Older folks are kinder and more tolerant to the to the children,older folks,old people ,kinder and more tolerant to the to the children,kind,['yoruba'],Daniella
,,,,,,,,,,,,,old people ,,more tolerant to the children ,,
